0, 
2,)
16,l
18,l)
32,k
34,k)
48,kl
50,kl)
64,j
66,j)
80,jl
82,jl)
96,jk
98,jk)
112,jkl
114,jkl)
128,o
130,o)
144,ol
146,ol)
160,ko
162,ko)
176,kol
178,kol)
192,jo
194,jo)
208,jol
210,jol)
224,jko
226,jko)
240,jkol
242,jkol)
256,i
258,i)
272,il
274,il)
288,ik
290,ik)
304,ikl
306,ikl)
320,ij
322,ij)
336,ijl
338,ijl)
352,ijk
354,ijk)
368,ijkl
370,ijkl)
384,io
386,io)
400,iol
402,iol)
416,iko
418,iko)
432,ikol
434,ikol)
448,ijo
450,ijo)
464,ijol
466,ijol)
480,ijko
482,ijko)
496,ijkol
498,ijkol)
512,u
514,u)
528,ul
530,ul)
544,uk
546,uk)
560,ukl
562,ukl)
576,uj
578,uj)
592,ujl
594,ujl)
608,ujk
610,ujk)
624,ujkl
626,ujkl)
640,uo
642,uo)
656,uol
658,uol)
672,uko
674,uko)
688,ukol
690,ukol)
704,ujo
706,ujo)
720,ujol
722,ujol)
736,ujko
738,ujko)
752,ujkol
754,ujkol)
768,ui
770,ui)
784,uil
786,uil)
800,uik
802,uik)
816,uikl
818,uikl)
832,uij
834,uij)
848,uijl
850,uijl)
864,uijk
866,uijk)
880,uijkl
882,uijkl)
896,uio
898,uio)
912,uiol
914,uiol)
928,uiko
930,uiko)
944,uikol
946,uikol)
960,uijo
962,uijo)
976,uijol
978,uijol)
992,uijko
994,uijko)
1008,uijkol
1010,uijkol)
1024,6
1026,6)
1040,6l
1042,6l)
1056,6k
1058,6k)
1072,6kl
1074,6kl)
1088,6j
1090,6j)
1104,6jl
1106,6jl)
1120,6jk
1122,6jk)
1136,6jkl
1138,6jkl)
1152,6o
1154,6o)
1168,6ol
1170,6ol)
1184,6ko
1186,6ko)
1200,6kol
1202,6kol)
1216,6jo
1218,6jo)
1232,6jol
1234,6jol)
1248,6jko
1250,6jko)
1264,6jkol
1266,6jkol)
1280,6i
1282,6i)
1296,6il
1298,6il)
1312,6ik
1314,6ik)
1328,6ikl
1330,6ikl)
1344,6ij
1346,6ij)
1360,6ijl
1362,6ijl)
1376,6ijk
1378,6ijk)
1392,6ijkl
1394,6ijkl)
1408,6io
1410,6io)
1424,6iol
1426,6iol)
1440,6iko
1442,6iko)
1456,6ikol
1458,6ikol)
1472,6ijo
1474,6ijo)
1488,6ijol
1490,6ijol)
1504,6ijko
1506,6ijko)
1520,6ijkol
1522,6ijkol)
1536,6u
1538,6u)
1552,6ul
1554,6ul)
1568,6uk
1570,6uk)
1584,6ukl
1586,6ukl)
1600,6uj
1602,6uj)
1616,6ujl
1618,6ujl)
1632,6ujk
1634,6ujk)
1648,6ujkl
1650,6ujkl)
1664,6uo
1666,6uo)
1680,6uol
1682,6uol)
1696,6uko
1698,6uko)
1712,6ukol
1714,6ukol)
1728,6ujo
1730,6ujo)
1744,6ujol
1746,6ujol)
1760,6ujko
1762,6ujko)
1776,6ujkol
1778,6ujkol)
1792,6ui
1794,6ui)
1808,6uil
1810,6uil)
1824,6uik
1826,6uik)
1840,6uikl
1842,6uikl)
1856,6uij
1858,6uij)
1872,6uijl
1874,6uijl)
1888,6uijk
1890,6uijk)
1904,6uijkl
1906,6uijkl)
1920,6uio
1922,6uio)
1936,6uiol
1938,6uiol)
1952,6uiko
1954,6uiko)
1968,6uikol
1970,6uikol)
1984,6uijo
1986,6uijo)
2000,6uijol
2002,6uijol)
2016,6uijko
2018,6uijko)
2032,6uijkol
2034,6uijkol)
2048,4
2050,4)
2064,4l
2066,4l)
2080,4k
2082,4k)
2096,4kl
2098,4kl)
2112,4j
2114,4j)
2128,4jl
2130,4jl)
2144,4jk
2146,4jk)
2160,4jkl
2162,4jkl)
2176,4o
2178,4o)
2192,4ol
2194,4ol)
2208,4ko
2210,4ko)
2224,4kol
2226,4kol)
2240,4jo
2242,4jo)
2256,4jol
2258,4jol)
2272,4jko
2274,4jko)
2288,4jkol
